Node Label,X,Y,Z,U1,U2,U3
1,90.0,270.0,3000.0,-0.0003630043,-0.02725052,-0.21238102
2,0.0,270.0,3000.0,-1.5559103e-13,-0.028010208,-0.2132289
3,0.0,270.0,1500.0,-9.518005e-13,-0.9371087,-0.10401442
4,0.0,270.0,0.0,-2.265967e-14,-0.028470226,0.0049065514
5,90.0,270.0,0.0,-0.0003365126,-0.027597869,0.004106271
6,0.0,0.0,3000.0,5.2328536e-34,-1.8814864e-32,6.584931e-33
7,-100.0,0.0,3000.0,-2.76585e-39,5.129e-42,1.0041638e-38
8,-100.0,0.0,0.0,-3.070763e-39,8.5129e-41,-0.20671563
9,0.0,0.0,0.0,1.4319899e-33,-1.8748819e-32,-0.21156225
10,100.0,0.0,3000.0,2.766092e-39,5.125e-42,1.0042289e-38
11,100.0,0.0,0.0,3.070765e-39,8.5127e-41,-0.20671563
12,-90.0,270.0,3000.0,0.0003630043,-0.02725052,-0.21238102
13,-90.0,270.0,0.0,0.0003365126,-0.027597869,0.004106271
14,0.0,127.930984,901.54346,-9.7156285e-14,-0.7178637,-0.10700557
15,0.0,124.87487,1332.5493,2.0418347e-13,-0.897965,-0.10751026
16,0.0,140.28488,157.86508,-5.734907e-14,-0.16038175,-0.09777185
17,0.0,142.67178,1680.6665,-5.0814957e-14,-0.889141,-0.103536606
18,0.0,164.8727,2718.8438,-1.1642409e-14,-0.2612349,-0.12849425
19,0.0,215.54323,733.7456,-4.9716584e-13,-0.6098404,-0.056950234
20,0.0,193.77127,2324.4316,-9.926773e-13,-0.5687769,-0.1425191
21,0.0,100.701225,778.38965,-8.170751e-14,-0.64196855,-0.12234751
22,0.0,111.95994,2440.0376,-3.9480157e-13,-0.48512655,-0.08985679
23,0.0,121.034904,2892.7239,-4.446444e-15,-0.11279056,-0.09704335
24,0.0,146.4205,2186.6956,-7.901262e-13,-0.6615695,-0.110744655
25,0.0,162.69157,549.71796,-2.6981594e-13,-0.4767912,-0.08446816
26,0.0,209.80394,1549.8269,-4.7135635e-13,-0.9196232,-0.1051502
27,0.0,210.32271,2550.4128,-5.899115e-13,-0.39852518,-0.16006364
28,0.0,185.6767,1153.3322,-3.747334e-13,-0.83892566,-0.09045421
29,60.0,270.0,3000.0,-0.00030803314,-0.027464949,-0.2126726
30,30.0,270.0,3000.0,-0.00027889348,-0.02774944,-0.21290238
31,0.0,270.0,2970.0,-3.6248558e-14,-0.05195651,-0.21321668
32,0.0,270.0,2940.0,5.135069e-14,-0.07619955,-0.21329488
33,0.0,270.0,2910.0,9.0818486e-14,-0.10090028,-0.21332389
34,0.0,270.0,2880.0,1.1490696e-13,-0.12598574,-0.21319757
35,0.0,270.0,2850.0,1.3263121e-13,-0.15133272,-0.21300918
36,0.0,270.0,2820.0,1.6575063e-13,-0.17677768,-0.21255155
37,0.0,270.0,2790.0,1.7690551e-13,-0.2021137,-0.21206218
38,0.0,270.0,2760.0,1.283052e-13,-0.22734977,-0.21139461
39,0.0,270.0,2730.0,6.273431e-14,-0.25265887,-0.21078868
40,0.0,270.0,2700.0,6.065538e-14,-0.27788794,-0.20986609
41,0.0,270.0,2670.0,-1.0005435e-13,-0.30298948,-0.20898864
42,0.0,270.0,2640.0,-2.5349644e-13,-0.3274727,-0.20767802
43,0.0,270.0,2610.0,-4.7144444e-13,-0.3515641,-0.20658918
44,0.0,270.0,2580.0,-6.397323e-13,-0.3751586,-0.20524248
45,0.0,270.0,2550.0,-7.9724443e-13,-0.39920658,-0.20426399
46,0.0,270.0,2520.0,-9.42521e-13,-0.42348465,-0.20285669
47,0.0,270.0,2490.0,-1.0361051e-12,-0.44752553,-0.20133056
48,0.0,270.0,2460.0,-1.1479614e-12,-0.47065714,-0.19965439
49,0.0,270.0,2430.0,-1.2280343e-12,-0.49306187,-0.19789985
50,0.0,270.0,2400.0,-1.2513529e-12,-0.51497036,-0.196197
51,0.0,270.0,2370.0,-1.3072914e-12,-0.53641355,-0.19437328
52,0.0,270.0,2340.0,-1.3792228e-12,-0.5576084,-0.19255947
53,0.0,270.0,2310.0,-1.4419269e-12,-0.5789236,-0.19070898
54,0.0,270.0,2280.0,-1.4271484e-12,-0.6001184,-0.18863942
55,0.0,270.0,2250.0,-1.4072301e-12,-0.62080306,-0.18640408
56,0.0,270.0,2220.0,-1.391909e-12,-0.6406117,-0.18411587
57,0.0,270.0,2190.0,-1.4524883e-12,-0.659891,-0.18177815
58,0.0,270.0,2160.0,-1.5014483e-12,-0.67866653,-0.17938088
59,0.0,270.0,2130.0,-1.4980297e-12,-0.69689286,-0.17686749
60,0.0,270.0,2100.0,-1.5519671e-12,-0.7143884,-0.17425182
61,0.0,270.0,2070.0,-1.5729501e-12,-0.73115474,-0.1715111
62,0.0,270.0,2040.0,-1.567266e-12,-0.74719244,-0.16872038
63,0.0,270.0,2010.0,-1.5471093e-12,-0.7625927,-0.16586888
64,0.0,270.0,1980.0,-1.5591709e-12,-0.777353,-0.16291378
65,0.0,270.0,1950.0,-1.5214724e-12,-0.79144806,-0.15993018
66,0.0,270.0,1920.0,-1.4561845e-12,-0.80491316,-0.15683052
67,0.0,270.0,1890.0,-1.3714818e-12,-0.8176677,-0.15369236
68,0.0,270.0,1860.0,-1.2983399e-12,-0.8297203,-0.15036938
69,0.0,270.0,1830.0,-1.2316155e-12,-0.84108484,-0.14704691
70,0.0,270.0,1800.0,-1.1596379e-12,-0.8517384,-0.14366151
71,0.0,270.0,1770.0,-1.074104e-12,-0.8616711,-0.14023447
72,0.0,270.0,1740.0,-9.801378e-13,-0.8710058,-0.13664678
73,0.0,270.0,1710.0,-9.345841e-13,-0.8797463,-0.13315862
74,0.0,270.0,1680.0,-8.657204e-13,-0.8880152,-0.12937488
75,0.0,270.0,1650.0,-8.463924e-13,-0.895447,-0.12580231
76,0.0,270.0,1620.0,-8.94031e-13,-0.90259755,-0.12157311
77,0.0,270.0,1590.0,-8.94996e-13,-0.9089066,-0.11813125
78,0.0,270.0,1560.0,-8.800067e-13,-0.9165276,-0.11356482
79,0.0,270.0,1530.0,-9.453223e-13,-0.9221744,-0.109940544
80,0.0,270.0,1470.0,-9.10372e-13,-0.9222905,-0.09829329
81,0.0,270.0,1440.0,-9.159458e-13,-0.9171153,-0.09444924
82,0.0,270.0,1410.0,-9.094243e-13,-0.9103327,-0.09033737
83,0.0,270.0,1380.0,-9.359847e-13,-0.90449274,-0.08659814
84,0.0,270.0,1350.0,-9.422031e-13,-0.897738,-0.0827363
85,0.0,270.0,1320.0,-9.495118e-13,-0.8904621,-0.078907035
86,0.0,270.0,1290.0,-9.63667e-13,-0.8823311,-0.075275525
87,0.0,270.0,1260.0,-9.980484e-13,-0.8736613,-0.07156764
88,0.0,270.0,1230.0,-1.0173278e-12,-0.86407334,-0.06797104
89,0.0,270.0,1200.0,-1.0355771e-12,-0.8536823,-0.064438656
90,0.0,270.0,1170.0,-9.98502e-13,-0.84232104,-0.060855385
91,0.0,270.0,1140.0,-9.676266e-13,-0.8301387,-0.057596304
92,0.0,270.0,1110.0,-9.953296e-13,-0.8173057,-0.054242466
93,0.0,270.0,1080.0,-9.79241e-13,-0.80421674,-0.051379964
94,0.0,270.0,1050.0,-9.370946e-13,-0.79083925,-0.048147064
95,0.0,270.0,1020.0,-9.187229e-13,-0.7768879,-0.04523417
96,0.0,270.0,990.0,-8.7131333e-13,-0.76229,-0.042161983
97,0.0,270.0,960.0,-8.530083e-13,-0.7468451,-0.039251085
98,0.0,270.0,930.0,-8.4264204e-13,-0.7306638,-0.03642149
99,0.0,270.0,900.0,-8.311644e-13,-0.71373445,-0.033687457
100,0.0,270.0,870.0,-7.9914704e-13,-0.6960538,-0.031076528
101,0.0,270.0,840.0,-7.7828347e-13,-0.6778312,-0.02860059
102,0.0,270.0,810.0,-7.455633e-13,-0.6591504,-0.026277892
103,0.0,270.0,780.0,-7.283393e-13,-0.639781,-0.023863913
104,0.0,270.0,750.0,-7.069191e-13,-0.6192326,-0.021350794
105,0.0,270.0,720.0,-6.5183335e-13,-0.5978595,-0.019314958
106,0.0,270.0,690.0,-6.295033e-13,-0.5758802,-0.016979508
107,0.0,270.0,660.0,-6.101739e-13,-0.5542689,-0.015636958
108,0.0,270.0,630.0,-5.434985e-13,-0.5332779,-0.013541396
109,0.0,270.0,600.0,-5.071999e-13,-0.5118154,-0.0117986305
110,0.0,270.0,570.0,-4.8077465e-13,-0.48971418,-0.00979304
111,0.0,270.0,540.0,-4.0721682e-13,-0.46697494,-0.008271907
112,0.0,270.0,510.0,-3.6794718e-13,-0.44383615,-0.0065692095
113,0.0,270.0,480.0,-2.9079194e-13,-0.42043957,-0.005329761
114,0.0,270.0,450.0,-2.9679801e-13,-0.397033,-0.0039398842
115,0.0,270.0,420.0,-2.7432765e-13,-0.3734465,-0.0027990725
116,0.0,270.0,390.0,-2.1885396e-13,-0.3497754,-0.0016046879
117,0.0,270.0,360.0,-1.8949293e-13,-0.32583693,-0.0005222142
118,0.0,270.0,330.0,-1.5286809e-13,-0.3016961,0.0004919335
119,0.0,270.0,300.0,-1.2070671e-13,-0.277292,0.0014442088
120,0.0,270.0,270.0,-6.816185e-14,-0.25267795,0.002272709
121,0.0,270.0,240.0,-4.070514e-14,-0.2278146,0.0030805918
122,0.0,270.0,210.0,-5.010127e-14,-0.20272835,0.0037182
123,0.0,270.0,180.0,-5.2567414e-14,-0.17737417,0.0043550543
124,0.0,270.0,150.0,-4.9951976e-14,-0.15187263,0.004720028
125,0.0,270.0,120.0,-4.586915e-14,-0.1263706,0.0050370162
126,0.0,270.0,90.0,-2.500112e-14,-0.101160064,0.0050221314
127,0.0,270.0,60.0,-3.6940635e-14,-0.07647678,0.0050302166
128,0.0,270.0,30.0,-2.9744243e-14,-0.05229233,0.0048977453
129,30.0,270.0,0.0,-0.00026186396,-0.028158747,0.0046095788
130,60.0,270.0,0.0,-0.00031973846,-0.027835121,0.0043945094
131,90.0,270.0,30.0,-0.0001384572,-0.05200031,0.0041517857
132,90.0,270.0,60.0,-1.1472699e-05,-0.076557435,0.004032522
133,90.0,270.0,90.0,9.0448266e-05,-0.101381436,0.003948407
134,90.0,270.0,120.0,0.0001741376,-0.12649436,0.003635583
135,90.0,270.0,150.0,0.00030180538,-0.15182862,0.0033557808
136,90.0,270.0,180.0,0.00040633234,-0.1772512,0.0028803907
137,90.0,270.0,210.0,0.0005359742,-0.20261618,0.0024162848
138,90.0,270.0,240.0,0.00061448367,-0.22781067,0.001769059
139,90.0,270.0,270.0,0.0007232877,-0.25276652,0.0010927971
140,90.0,270.0,300.0,0.0007766198,-0.27746156,0.00026629752
141,90.0,270.0,330.0,0.00087885576,-0.30189472,-0.0006213724
142,90.0,270.0,360.0,0.0009139752,-0.32608727,-0.0016098855
143,90.0,270.0,390.0,0.0010209996,-0.35006195,-0.002709303
144,90.0,270.0,420.0,0.001042671,-0.37385666,-0.0038443648
145,90.0,270.0,450.0,0.001166319,-0.39748892,-0.0051773055
146,90.0,270.0,480.0,0.0012055034,-0.42095834,-0.0064493557
147,90.0,270.0,510.0,0.0013487203,-0.44421053,-0.008010659
148,90.0,270.0,540.0,0.0014157909,-0.46716556,-0.009411502
149,90.0,270.0,570.0,0.0015467928,-0.48973653,-0.0111603625
150,90.0,270.0,600.0,0.0015722262,-0.51192653,-0.012690763
151,90.0,270.0,630.0,0.0016680821,-0.5338037,-0.01468412
152,90.0,270.0,660.0,0.0016983793,-0.5554941,-0.016357204
153,90.0,270.0,690.0,0.001769345,-0.57707405,-0.018608175
154,90.0,270.0,720.0,0.0019278246,-0.5984784,-0.020461049
155,90.0,270.0,750.0,0.0019469168,-0.619524,-0.022796704
156,90.0,270.0,780.0,0.002135516,-0.6400034,-0.024924798
157,90.0,270.0,810.0,0.0021268977,-0.65977144,-0.02730353
158,90.0,270.0,840.0,0.0022441992,-0.67877585,-0.029731488
159,90.0,270.0,870.0,0.0022962673,-0.69705063,-0.032254606
160,90.0,270.0,900.0,0.0023852044,-0.7146161,-0.034879033
161,90.0,270.0,930.0,0.0024910169,-0.73147297,-0.037572652
162,90.0,270.0,960.0,0.0025477952,-0.7476052,-0.04032594
163,90.0,270.0,990.0,0.0026566891,-0.7630073,-0.043211706
164,90.0,270.0,1020.0,0.0026683253,-0.777722,-0.04607631
165,90.0,270.0,1050.0,0.0027580992,-0.791827,-0.04919899
166,90.0,270.0,1080.0,0.0027943135,-0.80540663,-0.052184727
167,90.0,270.0,1110.0,0.002864555,-0.81850564,-0.05551292
168,90.0,270.0,1140.0,0.002979044,-0.8310973,-0.058661297
169,90.0,270.0,1170.0,0.0030289975,-0.8430917,-0.062100723
170,90.0,270.0,1200.0,0.0031649065,-0.854371,-0.06545171
171,90.0,270.0,1230.0,0.003186778,-0.8648644,-0.06897485
172,90.0,270.0,1260.0,0.0032828045,-0.874543,-0.0725575
173,90.0,270.0,1290.0,0.0033186078,-0.88346726,-0.0762017
174,90.0,270.0,1320.0,0.0033588042,-0.8917467,-0.079983935
175,90.0,270.0,1350.0,0.003456236,-0.89956427,-0.08383927
176,90.0,270.0,1380.0,0.0034856666,-0.9070732,-0.08776073
177,90.0,270.0,1410.0,0.003691089,-0.91453177,-0.091964416
178,90.0,270.0,1440.0,0.003946712,-0.92080003,-0.09589191
179,90.0,270.0,1470.0,0.00399938,-0.9255518,-0.10011424
180,90.0,270.0,1500.0,0.0043291436,-0.9270034,-0.10417873
181,90.0,270.0,1530.0,0.004014804,-0.92510486,-0.10801996
182,90.0,270.0,1560.0,0.0039912798,-0.9198745,-0.1124757
183,90.0,270.0,1590.0,0.003735546,-0.913106,-0.11613647
184,90.0,270.0,1620.0,0.0034986127,-0.905162,-0.120597474
185,90.0,270.0,1650.0,0.0035000073,-0.8972466,-0.1242576
186,90.0,270.0,1680.0,0.0033010943,-0.8891521,-0.12831841
187,90.0,270.0,1710.0,0.003328181,-0.88076395,-0.13191961
188,90.0,270.0,1740.0,0.0031738295,-0.8719268,-0.13566528
189,90.0,270.0,1770.0,0.0031701454,-0.8625493,-0.13917683
190,90.0,270.0,1800.0,0.003066144,-0.8525583,-0.14269592
191,90.0,270.0,1830.0,0.003032341,-0.8419135,-0.14607038
192,90.0,270.0,1860.0,0.0029524367,-0.83058053,-0.14941165
193,90.0,270.0,1890.0,0.0028935848,-0.81854796,-0.15262878
194,90.0,270.0,1920.0,0.002812345,-0.8058143,-0.15581746
195,90.0,270.0,1950.0,0.0027493648,-0.79239386,-0.15888318
196,90.0,270.0,1980.0,0.0026670254,-0.77829903,-0.16191249
197,90.0,270.0,2010.0,0.0026108713,-0.7635358,-0.16483006
198,90.0,270.0,2040.0,0.002530994,-0.74809974,-0.16768192
199,90.0,270.0,2070.0,0.0024681021,-0.7319789,-0.1704435
200,90.0,270.0,2100.0,0.0023832405,-0.7151652,-0.17311743
201,90.0,270.0,2130.0,0.0023045365,-0.6976624,-0.17572068
202,90.0,270.0,2160.0,0.0022226933,-0.6794922,-0.17822869
203,90.0,270.0,2190.0,0.0021446554,-0.6606733,-0.18066142
204,90.0,270.0,2220.0,0.0020690463,-0.6412365,-0.1829915
205,90.0,270.0,2250.0,0.001981996,-0.6212198,-0.1852368
206,90.0,270.0,2280.0,0.0018942456,-0.6007051,-0.18739405
207,90.0,270.0,2310.0,0.0017992099,-0.57979715,-0.1894657
208,90.0,270.0,2340.0,0.0017101405,-0.5586039,-0.19146477
209,90.0,270.0,2370.0,0.0016460326,-0.5371669,-0.19338448
210,90.0,270.0,2400.0,0.0015899317,-0.515444,-0.1951931
211,90.0,270.0,2430.0,0.0015262633,-0.49332276,-0.19693802
212,90.0,270.0,2460.0,0.0014860745,-0.47070116,-0.19855669
213,90.0,270.0,2490.0,0.0013553925,-0.4475493,-0.20009498
214,90.0,270.0,2520.0,0.0013071422,-0.42395565,-0.20160693
215,90.0,270.0,2550.0,0.0011641282,-0.40006375,-0.2029295
216,90.0,270.0,2580.0,0.0011253705,-0.37601414,-0.20434606
217,90.0,270.0,2610.0,0.0010467818,-0.35183463,-0.2054384
218,90.0,270.0,2640.0,0.0009845905,-0.32748592,-0.20666686
219,90.0,270.0,2670.0,0.00091832137,-0.3028778,-0.20755577
220,90.0,270.0,2700.0,0.0007971611,-0.27798873,-0.20856738
221,90.0,270.0,2730.0,0.0007149659,-0.25283855,-0.20930298
222,90.0,270.0,2760.0,0.0005810661,-0.2275137,-0.2100993
223,90.0,270.0,2790.0,0.00050532224,-0.20208995,-0.21066384
224,90.0,270.0,2820.0,0.000376087,-0.17664646,-0.21122994
225,90.0,270.0,2850.0,0.0002999717,-0.15125664,-0.21160974
226,90.0,270.0,2880.0,0.00016260681,-0.12601162,-0.2119727
227,90.0,270.0,2910.0,0.000121659985,-0.10098701,-0.21220087
228,90.0,270.0,2940.0,-2.3233844e-05,-0.07621631,-0.21233362
229,90.0,270.0,2970.0,-0.00010941865,-0.05166983,-0.21241392
230,-33.333332,0.0,3000.0,4.7955202e-35,-4.7155645e-34,-7.309009e-34
231,-66.666664,0.0,3000.0,-1.0766889e-34,-2.0680766e-34,-1.0012733e-33
232,-100.0,0.0,2970.0,0.00027638025,-0.034381747,-0.0006292542
233,-100.0,0.0,2940.0,0.00032093006,-0.067509994,-0.00062824937
234,-100.0,0.0,2910.0,0.00029199035,-0.09844471,-0.0014848787
235,-100.0,0.0,2880.0,0.00057527533,-0.12721004,-0.0016522777
236,-100.0,0.0,2850.0,0.00045826973,-0.15398647,-0.0022726462
237,-100.0,0.0,2820.0,0.0006222138,-0.17974186,-0.0027978779
238,-100.0,0.0,2790.0,0.00059531187,-0.20489483,-0.003404315
239,-100.0,0.0,2760.0,0.000668268,-0.22975668,-0.0041122753
240,-100.0,0.0,2730.0,0.00071601156,-0.2544839,-0.0048566083
241,-100.0,0.0,2700.0,0.0007926597,-0.2791491,-0.0056851627
242,-100.0,0.0,2670.0,0.00088297407,-0.30374494,-0.006579849
243,-100.0,0.0,2640.0,0.0009818982,-0.32821488,-0.007531093
244,-100.0,0.0,2610.0,0.0010754254,-0.35248438,-0.008563046
245,-100.0,0.0,2580.0,0.001165221,-0.37649587,-0.009667825
246,-100.0,0.0,2550.0,0.0012540997,-0.40023017,-0.010849742
247,-100.0,0.0,2520.0,0.0013097277,-0.42371252,-0.012112873
248,-100.0,0.0,2490.0,0.0014073637,-0.44698003,-0.01349313
249,-100.0,0.0,2460.0,0.0014604966,-0.47007284,-0.014891808
250,-100.0,0.0,2430.0,0.001562217,-0.49296978,-0.016485747
251,-100.0,0.0,2400.0,0.0016635932,-0.5156011,-0.018018905
252,-100.0,0.0,2370.0,0.0017331224,-0.5378555,-0.019759925
253,-100.0,0.0,2340.0,0.0018563478,-0.55962783,-0.021480346
254,-100.0,0.0,2310.0,0.0018876037,-0.58086824,-0.023326395
255,-100.0,0.0,2280.0,0.0019881902,-0.6015772,-0.025279526
256,-100.0,0.0,2250.0,0.0020333703,-0.62180316,-0.027259253
257,-100.0,0.0,2220.0,0.0021224478,-0.6415718,-0.02942005
258,-100.0,0.0,2190.0,0.0022174295,-0.6608899,-0.03156212
259,-100.0,0.0,2160.0,0.002307998,-0.6797058,-0.033873085
260,-100.0,0.0,2130.0,0.0024224592,-0.69794095,-0.036187395
261,-100.0,0.0,2100.0,0.0024999909,-0.7155244,-0.038629133
262,-100.0,0.0,2070.0,0.002589856,-0.7324018,-0.04112528
263,-100.0,0.0,2040.0,0.0026546707,-0.74856734,-0.043721594
264,-100.0,0.0,2010.0,0.0027211243,-0.7640301,-0.04639786
265,-100.0,0.0,1980.0,0.0027976006,-0.778819,-0.049172435
266,-100.0,0.0,1950.0,0.00287225,-0.7929481,-0.052003276
267,-100.0,0.0,1920.0,0.0029563215,-0.8064175,-0.0549464
268,-100.0,0.0,1890.0,0.0030481431,-0.8192088,-0.05793014
269,-100.0,0.0,1860.0,0.0031238527,-0.83130014,-0.0610189
270,-100.0,0.0,1830.0,0.0032103113,-0.8426784,-0.06417238
271,-100.0,0.0,1800.0,0.003281807,-0.8533385,-0.06741499
272,-100.0,0.0,1770.0,0.0033584915,-0.8632984,-0.07073622
273,-100.0,0.0,1740.0,0.003431189,-0.8725747,-0.0741572
274,-100.0,0.0,1710.0,0.003540316,-0.8811714,-0.07764862
275,-100.0,0.0,1680.0,0.0036157654,-0.8890501,-0.08120945
276,-100.0,0.0,1650.0,0.0037611888,-0.8961136,-0.08488146
277,-100.0,0.0,1620.0,0.0038385466,-0.9022286,-0.088512816
278,-100.0,0.0,1590.0,0.003942638,-0.9072444,-0.09233755
279,-100.0,0.0,1560.0,0.004012462,-0.91103584,-0.096042536
280,-100.0,0.0,1530.0,0.004033198,-0.9135104,-0.09994611
281,-100.0,0.0,1500.0,0.004084135,-0.91461784,-0.10374419
282,-100.0,0.0,1470.0,0.004054168,-0.9143191,-0.107645325
283,-100.0,0.0,1440.0,0.00408082,-0.91258204,-0.1114741
284,-100.0,0.0,1410.0,0.003992884,-0.90940475,-0.1152883
285,-100.0,0.0,1380.0,0.0039788987,-0.9048032,-0.11909549
286,-100.0,0.0,1350.0,0.003814051,-0.89889574,-0.122745365
287,-100.0,0.0,1320.0,0.003742224,-0.8918334,-0.12654243
288,-100.0,0.0,1290.0,0.0035976768,-0.8838193,-0.13000791
289,-100.0,0.0,1260.0,0.0034748714,-0.8750018,-0.13371058
290,-100.0,0.0,1230.0,0.0034327887,-0.8654805,-0.13704188
291,-100.0,0.0,1200.0,0.0032895664,-0.85526043,-0.14048524
292,-100.0,0.0,1170.0,0.003265814,-0.8443178,-0.14371894
293,-100.0,0.0,1140.0,0.0031287428,-0.83263445,-0.14688495
294,-100.0,0.0,1110.0,0.0030444483,-0.820213,-0.15000336
295,-100.0,0.0,1080.0,0.0029384391,-0.80710167,-0.15298444
296,-100.0,0.0,1050.0,0.0028237894,-0.7933406,-0.15595344
297,-100.0,0.0,1020.0,0.0027878534,-0.7789499,-0.15879904
