Node Label,X,Y,Z,U1,U2,U3
1,90.0,270.0,3000.0,-0.0003039728,-0.026969764,-0.21276465
2,0.0,270.0,3000.0,-1.4304564e-13,-0.027811833,-0.21343008
3,0.0,270.0,1500.0,4.0576461e-13,-0.9320785,-0.10466771
4,0.0,270.0,0.0,2.614463e-13,-0.028811391,0.004787464
5,90.0,270.0,0.0,-0.00034812148,-0.027986081,0.0039705858
6,0.0,0.0,3000.0,5.131355e-34,-1.8830938e-32,7.102915e-33
7,-100.0,0.0,3000.0,-2.725496e-39,8.3e-43,9.883167e-39
8,-100.0,0.0,0.0,-3.082642e-39,8.4704e-41,-0.20572694
9,0.0,0.0,0.0,1.4111059e-33,-1.8783155e-32,-0.21046822
10,100.0,0.0,3000.0,2.725977e-39,8.27e-43,9.883245e-39
11,100.0,0.0,0.0,3.082596e-39,8.4703e-41,-0.20572694
12,-90.0,270.0,3000.0,0.0003039728,-0.026969764,-0.21276465
13,-90.0,270.0,0.0,0.00034812148,-0.027986081,0.0039705858
14,0.0,159.94333,1129.6921,8.5324613e-13,-0.82668257,-0.09502965
15,0.0,173.32678,2622.9995,-4.7024336e-13,-0.3382604,-0.13452451
16,0.0,140.94446,558.2754,5.1040254e-13,-0.48560244,-0.098303445
17,0.0,151.56573,1439.3535,5.231258e-13,-0.91422355,-0.105986685
18,0.0,136.15073,1643.586,5.168792e-14,-0.8959937,-0.10173862
19,0.0,190.67178,1846.317,-3.414285e-13,-0.83157253,-0.123355545
20,0.0,146.46613,2834.5503,-2.7794664e-13,-0.16164394,-0.116694026
21,0.0,137.2928,2063.382,-9.813943e-13,-0.7291393,-0.1053036
22,0.0,146.40868,843.33014,6.9724716e-13,-0.6813199,-0.09746233
23,0.0,211.76517,1259.1982,8.03412e-13,-0.8718877,-0.09050813
24,0.0,130.35242,390.45773,4.0065217e-13,-0.3550419,-0.10579759
25,0.0,183.42432,702.28265,4.4042046e-13,-0.5889492,-0.07462569
26,0.0,181.05966,250.70493,2.043481e-13,-0.23920424,-0.06792753
27,0.0,178.16983,2220.9048,-9.780531e-13,-0.63310146,-0.1307112
28,0.0,142.39261,133.16714,1.7410292e-13,-0.13999717,-0.09501288
29,60.0,270.0,3000.0,-0.00029222638,-0.02722216,-0.21294758
30,30.0,270.0,3000.0,-0.00024610007,-0.027536944,-0.21323259
31,0.0,270.0,2970.0,-2.0109408e-13,-0.051441923,-0.21351132
32,0.0,270.0,2940.0,-1.2113668e-13,-0.07537825,-0.21352448
33,0.0,270.0,2910.0,-1.5840989e-13,-0.099750996,-0.21357979
34,0.0,270.0,2880.0,-1.8901891e-13,-0.12454047,-0.21350531
35,0.0,270.0,2850.0,-1.569644e-13,-0.14969638,-0.2133533
36,0.0,270.0,2820.0,-2.0835689e-13,-0.1751289,-0.21303649
37,0.0,270.0,2790.0,-2.528429e-13,-0.20062904,-0.21253115
38,0.0,270.0,2760.0,-2.3161025e-13,-0.22596063,-0.2118506
39,0.0,270.0,2730.0,-2.3442365e-13,-0.2510238,-0.21108271
